2025-07-04 17:06:24,754 | INFO     | utilities.qa_utils | Attempting to retrieve historic Q&A for grade 12 for question: 'What is the difference between a rotation and a re...'
2025-07-04 17:19:57,956 | INFO     | utilities.qa_utils | Did not find a similar question asked for grade 12
2025-07-04 17:20:23,822 | INFO     | utilities.qa_utils | Storing new Q&A pair for grade 12: 'What is the difference between a rotation and a re...'
2025-07-04 17:20:24,173 | INFO     | utilities.qa_utils | Using ans_high_con based on no_extra_explain=True
2025-07-04 17:20:24,176 | INFO     | utilities.qa_utils | Inserted Q&A pair with ID 2 into SQLite database for grade 12
2025-07-04 17:20:24,177 | WARNING  | utilities.qa_utils | FAISS index not found for grade 12, creating new one
2025-07-04 17:20:24,177 | INFO     | utilities.qa_utils | Created new FAISS index for grade 12 with dimension 1536
2025-07-04 17:20:24,177 | INFO     | utilities.qa_utils | Added vector to FAISS index for grade 12, new size: 1
2025-07-04 17:20:24,178 | INFO     | utilities.qa_utils | Saved updated FAISS index for grade 12
2025-07-04 17:20:50,963 | INFO     | utilities.qa_utils | Attempting to retrieve historic Q&A for grade 12 for question: 'What is the difference between a rotation and a re...'
2025-07-04 17:20:51,266 | INFO     | utilities.qa_utils | FAISS index loaded for grade 12 from /Users/wangyichi/Documents/Projects/math_tutor/historic_qa_data/grade12.index. Index size: 1
2025-07-04 17:20:51,267 | INFO     | utilities.qa_utils | SQLite DB connection established for grade 12 at /Users/wangyichi/Documents/Projects/math_tutor/historic_qa_data/grade12_historic.db
2025-07-04 17:20:51,272 | DEBUG    | utilities.qa_utils | FAISS search results: distances=[[0.]], ids=[[2]]
2025-07-04 17:20:51,272 | INFO     | utilities.qa_utils | Found similar historic question with ID 2, distance 0.0000 (Threshold: < 0.2).
2025-07-04 17:20:51,273 | INFO     | utilities.qa_utils | Using ans_low_con based on no_extra_explain=False
2025-07-04 17:20:51,274 | WARNING  | utilities.qa_utils | Historic answer not found in DB for ID 2, though FAISS match found.
2025-07-04 17:20:51,274 | INFO     | utilities.qa_utils | Did not find a similar question asked for grade 12
2025-07-04 17:21:24,899 | INFO     | utilities.qa_utils | Storing new Q&A pair for grade 12: 'What is the difference between a rotation and a re...'
2025-07-04 17:21:25,189 | INFO     | utilities.qa_utils | Using ans_low_con based on no_extra_explain=False
2025-07-04 17:21:25,190 | WARNING  | utilities.qa_utils | Question already exists in database for grade 12: 'What is the difference between a rotation and a re...'
2025-07-04 17:21:25,192 | INFO     | utilities.qa_utils | Using existing question ID 2 for grade 12
2025-07-04 17:21:25,193 | INFO     | utilities.qa_utils | Loaded existing FAISS index for grade 12 with 1 entries
2025-07-04 17:21:25,193 | INFO     | utilities.qa_utils | Added vector to FAISS index for grade 12, new size: 2
2025-07-04 17:21:25,195 | INFO     | utilities.qa_utils | Saved updated FAISS index for grade 12
2025-07-04 17:21:41,356 | INFO     | utilities.qa_utils | Attempting to retrieve historic Q&A for grade 12 for question: 'What is the difference between a rotation and a re...'
2025-07-04 17:21:41,635 | INFO     | utilities.qa_utils | FAISS index loaded for grade 12 from /Users/wangyichi/Documents/Projects/math_tutor/historic_qa_data/grade12.index. Index size: 2
2025-07-04 17:21:41,636 | INFO     | utilities.qa_utils | SQLite DB connection established for grade 12 at /Users/wangyichi/Documents/Projects/math_tutor/historic_qa_data/grade12_historic.db
2025-07-04 17:21:41,637 | DEBUG    | utilities.qa_utils | FAISS search results: distances=[[0.]], ids=[[2]]
2025-07-04 17:21:41,638 | INFO     | utilities.qa_utils | Found similar historic question with ID 2, distance 0.0000 (Threshold: < 0.2).
2025-07-04 17:21:41,638 | INFO     | utilities.qa_utils | Using ans_low_con based on no_extra_explain=False
2025-07-04 17:21:41,639 | WARNING  | utilities.qa_utils | Historic answer not found in DB for ID 2, though FAISS match found.
2025-07-04 17:21:41,639 | INFO     | utilities.qa_utils | Did not find a similar question asked for grade 12
2025-07-04 17:22:03,768 | INFO     | utilities.qa_utils | Storing new Q&A pair for grade 12: 'What is the difference between a rotation and a re...'
2025-07-04 17:22:04,087 | INFO     | utilities.qa_utils | Using ans_low_con based on no_extra_explain=False
2025-07-04 17:22:04,087 | WARNING  | utilities.qa_utils | Question already exists in database for grade 12: 'What is the difference between a rotation and a re...'
2025-07-04 17:22:04,088 | INFO     | utilities.qa_utils | Using existing question ID 2 for grade 12
2025-07-04 17:22:04,089 | INFO     | utilities.qa_utils | Loaded existing FAISS index for grade 12 with 2 entries
2025-07-04 17:22:04,089 | INFO     | utilities.qa_utils | Added vector to FAISS index for grade 12, new size: 3
2025-07-04 17:22:04,090 | INFO     | utilities.qa_utils | Saved updated FAISS index for grade 12
2025-07-04 18:37:30,488 | INFO     | utilities.qa_utils | Attempting to retrieve historic Q&A for grade 12 for question: 'What is the difference between a rotation and a re...'
2025-07-04 18:37:31,253 | WARNING  | utilities.qa_utils | FAISS index file not found for grade 12 at /Users/wangyichi/Documents/Projects/math_tutor/historic_qa_data/grade12.index
2025-07-04 18:37:31,254 | DEBUG    | utilities.qa_utils | Could not load historic Q&A resources for grade 12. Proceeding with normal generation.
2025-07-04 18:37:31,254 | INFO     | utilities.qa_utils | Did not find a similar question asked for grade 12
2025-07-04 18:38:00,329 | INFO     | utilities.qa_utils | Using ans_high_con based on no_extra_explain=True
2025-07-04 18:38:00,329 | INFO     | utilities.qa_utils | Inserting new Q&A pair for grade 12: 'What is the difference between a rotation and a re...'
2025-07-04 18:38:00,333 | INFO     | utilities.qa_utils | Inserted new Q&A pair with ID 3 into SQLite database for grade 12
2025-07-04 18:38:00,587 | WARNING  | utilities.qa_utils | FAISS index not found for grade 12, creating new one
2025-07-04 18:38:00,590 | INFO     | utilities.qa_utils | Created new FAISS index for grade 12 with dimension 1536
2025-07-04 18:38:00,590 | INFO     | utilities.qa_utils | Added vector to FAISS index for grade 12, new size: 1
2025-07-04 18:38:00,594 | INFO     | utilities.qa_utils | Saved updated FAISS index for grade 12
2025-07-04 18:38:11,075 | INFO     | utilities.qa_utils | Attempting to retrieve historic Q&A for grade 12 for question: 'What is the difference between a rotation and a re...'
2025-07-04 18:38:11,367 | INFO     | utilities.qa_utils | FAISS index loaded for grade 12 from /Users/wangyichi/Documents/Projects/math_tutor/historic_qa_data/grade12.index. Index size: 1
2025-07-04 18:38:11,368 | INFO     | utilities.qa_utils | SQLite DB connection established for grade 12 at /Users/wangyichi/Documents/Projects/math_tutor/historic_qa_data/grade12_historic.db
2025-07-04 18:38:11,371 | DEBUG    | utilities.qa_utils | FAISS search results: distances=[[0.]], ids=[[3]]
2025-07-04 18:38:11,371 | INFO     | utilities.qa_utils | Found similar historic question with ID 3, distance 0.0000 (Threshold: < 0.2).
2025-07-04 18:38:11,371 | INFO     | utilities.qa_utils | Using ans_low_con based on no_extra_explain=False
2025-07-04 18:38:11,372 | WARNING  | utilities.qa_utils | Historic answer not found in DB for ID 3, though FAISS match found.
2025-07-04 18:38:11,372 | INFO     | utilities.qa_utils | Found historic answer ID for grade 12 question, but answer not found in DB.
2025-07-04 18:38:55,527 | INFO     | utilities.qa_utils | Using ans_low_con based on no_extra_explain=False
2025-07-04 18:38:55,528 | INFO     | utilities.qa_utils | Updating existing Q&A pair with ID 3 for grade 12
2025-07-04 18:38:55,530 | INFO     | utilities.qa_utils | Updated ans_low_con for Q&A pair with ID 3
2025-07-04 18:38:55,530 | INFO     | utilities.qa_utils | Skipping FAISS index update for existing entry ID 3
2025-07-04 18:39:55,215 | INFO     | utilities.qa_utils | Attempting to retrieve historic Q&A for grade 12 for question: 'What is the difference between a rotation and a re...'
2025-07-04 18:39:55,545 | INFO     | utilities.qa_utils | FAISS index loaded for grade 12 from /Users/wangyichi/Documents/Projects/math_tutor/historic_qa_data/grade12.index. Index size: 1
2025-07-04 18:39:55,547 | INFO     | utilities.qa_utils | SQLite DB connection established for grade 12 at /Users/wangyichi/Documents/Projects/math_tutor/historic_qa_data/grade12_historic.db
2025-07-04 18:39:55,548 | DEBUG    | utilities.qa_utils | FAISS search results: distances=[[0.]], ids=[[3]]
2025-07-04 18:39:55,548 | INFO     | utilities.qa_utils | Found similar historic question with ID 3, distance 0.0000 (Threshold: < 0.2).
2025-07-04 18:39:55,549 | INFO     | utilities.qa_utils | Using ans_low_con based on no_extra_explain=False
2025-07-04 18:39:55,549 | INFO     | utilities.qa_utils | Retrieved ans_low_con for ID 3.
2025-07-04 18:39:55,549 | INFO     | utilities.qa_utils | Found and using historic answer for grade 12 question.
2025-07-04 18:51:18,223 | INFO     | utilities.qa_utils | Attempting to retrieve historic Q&A for grade 12 for question: '"What can you do?"...'
2025-07-04 18:51:18,495 | INFO     | utilities.qa_utils | FAISS index loaded for grade 12 from /Users/wangyichi/Documents/Projects/math_tutor/historic_qa_data/grade12.index. Index size: 1
2025-07-04 18:51:18,499 | INFO     | utilities.qa_utils | SQLite DB connection established for grade 12 at /Users/wangyichi/Documents/Projects/math_tutor/historic_qa_data/grade12_historic.db
2025-07-04 18:51:18,505 | DEBUG    | utilities.qa_utils | FAISS search results: distances=[[0.5195787]], ids=[[3]]
2025-07-04 18:51:18,505 | INFO     | utilities.qa_utils | No sufficiently similar historic question found. Closest distance 0.5196 (Threshold: < 0.2).
2025-07-04 18:51:18,505 | INFO     | utilities.qa_utils | Did not find a similar question asked for grade 12
2025-07-04 18:52:05,410 | INFO     | utilities.qa_utils | Attempting to retrieve historic Q&A for grade 12 for question: '"What is the weather today"...'
2025-07-04 18:52:05,696 | INFO     | utilities.qa_utils | FAISS index loaded for grade 12 from /Users/wangyichi/Documents/Projects/math_tutor/historic_qa_data/grade12.index. Index size: 1
2025-07-04 18:52:05,698 | INFO     | utilities.qa_utils | SQLite DB connection established for grade 12 at /Users/wangyichi/Documents/Projects/math_tutor/historic_qa_data/grade12_historic.db
2025-07-04 18:52:05,700 | DEBUG    | utilities.qa_utils | FAISS search results: distances=[[0.56561625]], ids=[[3]]
2025-07-04 18:52:05,700 | INFO     | utilities.qa_utils | No sufficiently similar historic question found. Closest distance 0.5656 (Threshold: < 0.2).
2025-07-04 18:52:05,700 | INFO     | utilities.qa_utils | Did not find a similar question asked for grade 12
2025-07-04 18:52:39,926 | INFO     | utilities.qa_utils | Attempting to retrieve historic Q&A for grade 12 for question: 'helllllawr...'
2025-07-04 18:52:40,200 | INFO     | utilities.qa_utils | FAISS index loaded for grade 12 from /Users/wangyichi/Documents/Projects/math_tutor/historic_qa_data/grade12.index. Index size: 1
2025-07-04 18:52:40,201 | INFO     | utilities.qa_utils | SQLite DB connection established for grade 12 at /Users/wangyichi/Documents/Projects/math_tutor/historic_qa_data/grade12_historic.db
2025-07-04 18:52:40,202 | DEBUG    | utilities.qa_utils | FAISS search results: distances=[[0.58399963]], ids=[[3]]
2025-07-04 18:52:40,203 | INFO     | utilities.qa_utils | No sufficiently similar historic question found. Closest distance 0.5840 (Threshold: < 0.2).
2025-07-04 18:52:40,203 | INFO     | utilities.qa_utils | Did not find a similar question asked for grade 12
